Category,Diagnostic,Messages,FirstLogLine,Files
dna_missing_gene,gene_dragon_scale_highlights,298,1446,common/dna_data/test_dna_beyond_the_wall.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_easter_eggs.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_scale_shadows,298,1445,common/dna_data/test_dna_beyond_the_wall.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_easter_eggs.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_secondary_hue,186,1475,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_secondary_saturation,298,1439,common/dna_data/test_dna_beyond_the_wall.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_easter_eggs.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_secondary_value,186,1476,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_tertiary_hue,202,1477,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_tertiary_saturation,298,1440,common/dna_data/test_dna_beyond_the_wall.txt | common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_easter_eggs.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_tertiary_value,202,1478,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_wings_shading,202,1496,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_dragon_wounded,202,1493,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_vanity.txt | common/dna_data/test_dna_westerlands.txt
