LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
10881,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_9_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:160,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_9_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10882,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_88_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:27,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_88_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10883,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_100_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:76,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_100_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10885,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_3_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:118,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_3_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10886,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_5_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:125,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_5_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10887,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_6_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:139,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_6_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10888,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_102_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:90,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_102_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10890,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_94_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:34,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_94_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10891,variable_not_set,Symbol only in AGOT+ effective text,faegon_main_character,AGOT+ | Исправления совместимости: common/on_action/agot_on_actions/test_title_on_actions.txt:815 | AGOT+ | Исправления совместимости: common/on_action/agot_on_actions/test_title_on_actions.txt:816 | AGOT+ | Исправления совместимости: common/on_action/agot_on_actions/test_title_on_actions.txt:817,AGOT+ | Исправления совместимости,jomini_effect.cpp:1161,,,Variable 'faegon_main_character' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10892,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_10_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:167,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_10_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10893,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_4_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:132,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_4_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10896,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_98_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:62,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_98_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10897,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_103_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:97,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_103_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10901,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_86_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:13,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_86_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10902,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_7_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:146,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_7_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10946,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_targaryen_invasion_claimant,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_targaryen_invasion_claimants_effects.txt:140,AGOT+ | Исправления совместимости,jomini_effect.cpp:1161,,,Event target 'asoiaf_targaryen_invasion_claimant' is used but is never set. Setting it in an unused scripted trigger or effect does not count
