LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
1728,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_scales_effect in group human at file: common/dna_data/test_dna_crownlands.txt line: 1952 (Stokeworth_asoiaf_6)
1729,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_hue! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1730,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_value! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1731,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_primary_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1732,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_secondary_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1733,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1734,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_eye_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1735,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_horn_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1736,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_fire_color! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1737,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_fire_smoke! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1738,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_metallic_scales_strength! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
1739,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_scale_shadows! at 'file: common/dna_data/test_dna_crownlands.txt line: 1806 (Stokeworth_asoiaf_6)'
