Symbol,Mod,File,Line,SourceText
dragon_whip_silver,Valyrian Steel,gfx/portraits/portrait_animations/99_dragon_whip_animations.txt,315,dragon_whip_silver = {
is_jon_snow,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt,174,						has_character_flag = is_jon_snow
is_jon_snow,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt,1565,					has_character_flag = is_jon_snow
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1345,										has_variable = kingsguard_choice
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1347,											var:kingsguard_choice = 0
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1348,											var:kingsguard_choice = 4
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1351,									NOT = { has_variable = kingsguard_choice }
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1648,								has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1650,									var:kingsguard_choice = 2
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1651,									var:kingsguard_choice = 5
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1690,								has_variable = kingsguard_choice 
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1692,									var:kingsguard_choice = 1
kingsguard_choice,AGOT Submod Core,gfx/portraits/portrait_modifiers/01_cloaks_base.txt,1693,									var:kingsguard_choice = 3
tgc_pants_blackfyre,AGOT Submod Core,gfx/portraits/portrait_modifiers/00_custom_legwear.txt,155,		template = tgc_pants_blackfyre
