LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message,PriorLogLine,EvidenceBasis
1385,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1386,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1386,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1387,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1387,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1388,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1388,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1389,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1389,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1390,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1390,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1391,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1391,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1392,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1392,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1393,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1393,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1394,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
1394,mesh_uv,Direct file,,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,,pdxassetutil.cpp:556,AGOT+,gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh,UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.,1395,Previously reviewed source/symbol attribution; evidence line numbers precede revisions 11/12
