Stage,Category,PriorLogLine,Component,Message,AfterCount
11,accessory_entity,1434,portraitaccessories.cpp:65,could not find entity [female_clothes_asoiaf_stannis_clothes_1] - file: gfx/portraits/accessories/asoiaf_clothes.txt line: 426 (female_clothes_asoiaf_stormlands_stannis_clothes_1),0
11,accessory_entity,1435,portraitaccessories.cpp:65,could not find entity [female_jewellery_asoiaf_septon_necklace_1] - file: gfx/portraits/accessories/asoiaf_jewellery.txt line: 34 (female_jewellery_asoiaf_septon_necklace_1),0
11,portrait_templates,1445,dnamodifier.cpp:24,could not find gene [secondary_headgear]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 16 (asoiaf_no_crowns_modifiers),0
11,portrait_templates,1446,dnamodifier.cpp:46,gene is invalid at file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 14 (asoiaf_no_crowns_modifiers),0
11,portrait_templates,1447,dnamodifier.cpp:455,"Mismatch in gene type - only accessory is expected here, near file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 14 (asoiaf_no_crowns_modifiers)",0
11,portrait_templates,1448,dnamodifier.cpp:330,could not find template [no_headgear]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 14 (asoiaf_no_crowns_modifiers),0
11,portrait_templates,1449,dnamodifier.cpp:330,could not find template [no_headgear]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 20 (asoiaf_no_crowns_modifiers),0
11,portrait_templates,1450,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 159 (asoiaf_red_priest_necklace_age_modifiers),0
11,portrait_templates,1451,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 219 (asoiaf_immortality_visuals),0
11,portrait_templates,1452,dnamodifier.cpp:330,could not find template [one_eyed_gem_saphire]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 348 (asoiaf_misc_dna),0
11,portrait_templates,1453,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1251 (asoiaf_custom_character_colourations),0
11,portrait_templates,1454,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1257 (asoiaf_custom_character_colourations),0
11,portrait_templates,1455,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1269 (asoiaf_custom_character_colourations),0
11,portrait_templates,1456,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1330 (asoiaf_custom_character_colourations),0
11,portrait_templates,1457,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1336 (asoiaf_custom_character_colourations),0
11,portrait_templates,1458,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1342 (asoiaf_custom_character_colourations),0
11,portrait_templates,1459,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1348 (asoiaf_custom_character_colourations),0
11,portrait_templates,1460,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1354 (asoiaf_custom_character_colourations),0
11,portrait_templates,1461,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1409 (asoiaf_custom_character_colourations),0
11,portrait_templates,1462,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1415 (asoiaf_custom_character_colourations),0
11,portrait_templates,1463,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1421 (asoiaf_custom_character_colourations),0
11,portrait_templates,1464,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1427 (asoiaf_custom_character_colourations),0
11,portrait_templates,1465,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1433 (asoiaf_custom_character_colourations),0
11,portrait_templates,1466,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1896 (asoiaf_custom_character_colourations),0
11,portrait_templates,1467,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1902 (asoiaf_custom_character_colourations),0
11,portrait_templates,1468,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1908 (asoiaf_custom_character_colourations),0
11,portrait_templates,1469,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1914 (asoiaf_custom_character_colourations),0
11,portrait_templates,1470,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1969 (asoiaf_custom_character_colourations),0
11,portrait_templates,1471,dnamodifier.cpp:330,could not find template [none]. file: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt line: 1975 (asoiaf_custom_character_colourations),0
