"LogLine","Key","Category","FirstFile","SecondFile","RepositoryDefinitions","DistinctValues","Mods"
"33","agot_filler_crownlands.0004.t","Expected corrective localization override","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml","1","1","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"34","agot_filler_crownlands.0004.desc","Expected corrective localization override","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"35","agot_filler_crownlands.0004.a","Reviewed same-object mod override","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация"
"36","agot_filler_crownlands.0004.tt","Expected corrective localization override","localization/russian/more_dragon_eggs_events_l_russian.yml","localization/russian/agot/event_localization/filler_events/agot_filler_events_crownlands_l_russian.yml","1","2","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"37","PORTRAIT_MODIFIER_custom_headgear_crown_of_the_grey_king_rusted","Reviewed same-object mod override","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml","localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"38","PORTRAIT_MODIFIER_custom_headgear_female_crown_of_the_grey_king_rusted","Reviewed same-object mod override","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml","localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"39","PORTRAIT_MODIFIER_custom_headgear_crown_of_gardener_war_iron","Reviewed same-object mod override","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml","localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"40","PORTRAIT_MODIFIER_custom_headgear_female_crown_of_gardener_war_iron","Reviewed same-object mod override","localization/russian/agot_westeroscrowns_portrait_modifiers_l_russian.yml","localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml","0","2","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация"
"41","artifact_vs_sword_1_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"42","artifact_vs_sword_1_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"43","artifact_vs_sword_2_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"44","artifact_vs_sword_2_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"45","artifact_vs_sword_3_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"46","artifact_vs_sword_3_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"47","artifact_vs_sword_4_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"48","artifact_vs_sword_4_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"49","artifact_vs_axe_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"50","artifact_vs_axe_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"51","artifact_vs_mace_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"52","artifact_vs_mace_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"53","artifact_vs_spear_1_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"54","artifact_vs_spear_1_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"55","artifact_vs_dagger_1_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"56","artifact_vs_dagger_1_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
"57","artifact_vs_halberd_name","Identical localization definitions","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","1","Valyrian Steel | Valyrian Steel - Русификация"
"58","artifact_vs_halberd_description","Expected external translation override","localization/russian/targ_artifacts_l_russian.yml","localization/russian/artifacts/targ_artifacts_l_russian.yml","0","2","Valyrian Steel | Valyrian Steel - Русификация"
