BeforeCount,AfterCount,Difference,Component,Message,Signature
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: 6234 (Hightower_asoiaf_9),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: * (Hightower_asoiaf_9)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: 1590 (Redwyne_asoiaf_2),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: * (Redwyne_asoiaf_2)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: 2602 (Tarly_asoiaf_2),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: * (Tarly_asoiaf_2)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: 2811 (Tarly_asoiaf_3),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: * (Tarly_asoiaf_3)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: 565 (Tyrell_asoiaf_11),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: * (Tyrell_asoiaf_11)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: 774 (Tyrell_asoiaf_12),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: * (Tyrell_asoiaf_12)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: 1185 (Tyrell_asoiaf_14),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: * (Tyrell_asoiaf_14)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: 356 (Tyrell_asoiaf_8),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_reach.txt line: * (Tyrell_asoiaf_8)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_riverlands.txt line: 2014 (Strong_asoiaf_31),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_riverlands.txt line: * (Strong_asoiaf_31)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_riverlands.txt line: 578 (Tully_asoiaf_6),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_riverlands.txt line: * (Tully_asoiaf_6)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_riverlands.txt line: 788 (Tully_asoiaf_7),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_riverlands.txt line: * (Tully_asoiaf_7)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_riverlands.txt line: 997 (Tully_asoiaf_9),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_riverlands.txt line: * (Tully_asoiaf_9)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: 2952 (Baratheon_asoiaf_13),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: * (Baratheon_asoiaf_13)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: 1952 (Baratheon_asoiaf_2_1),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: * (Baratheon_asoiaf_2_1)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: 4804 (Cole_asoiaf_11),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: * (Cole_asoiaf_11)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: 5011 (Melisandre_asoiaf_1),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: * (Melisandre_asoiaf_1)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: 5220 (Seaworth_asoiaf_1),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: * (Seaworth_asoiaf_1)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: 4388 (Selmy_asoiaf_3),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: * (Selmy_asoiaf_3)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: 4178 (Tarth_asoiaf_6),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: * (Tarth_asoiaf_6)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: 4597 (Trant_asoiaf_2),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_stormlands.txt line: * (Trant_asoiaf_2)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_vale.txt line: 569 (Arryn_asoiaf_3),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_vale.txt line: * (Arryn_asoiaf_3)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_vale.txt line: 1985 (Royce_asoiaf_1),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_vale.txt line: * (Royce_asoiaf_1)
1,0,-1,portraitcontext.cpp:184,No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_vale.txt line: 1778 (Royce_asoiaf_37),portraitcontext.cpp:184 No gene with key: gene_bs_eye_fold_2 in group human at file: common/dna_data/test_dna_vale.txt line: * (Royce_asoiaf_37)
