"LogLine","Key","Category","FirstFile","SecondFile","RepositoryDefinitions","DistinctValues","Mods"
"37","dragon_egg_serporoth_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"38","dragon_egg_maegor_2_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"39","dragon_egg_maegor_3_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"40","dragon_egg_maegor_4_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"41","dragon_egg_maegor_5_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"42","dragon_egg_maegor_6_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"43","dragon_egg_maegor_7_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"44","dragon_egg_maegor_8_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"45","dragon_egg_maegor_9_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"46","dragon_egg_maegor_10_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"47","dragon_egg_maegor_11_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"48","dragon_egg_aenys_1_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"49","dragon_egg_aenys_2_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"50","dragon_egg_aerea_1_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"51","dragon_egg_aerea_2_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"52","dragon_egg_aerea_3_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"53","dragon_egg_daenerys_1_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"54","dragon_egg_aemond_1_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"55","dragon_egg_aemond_2_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"56","dragon_egg_aemond_3_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"57","dragon_egg_essovius_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"58","dragon_egg_valryon_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"59","dragon_egg_ghiscar_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"60","dragon_egg_terrax_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"61","dragon_egg_vassarion_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"62","dragon_egg_rovax_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"63","dragon_egg_neltharion_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"64","dragon_egg_pythax_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"65","dragon_egg_nagga_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"66","dragon_egg_urrax_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"67","dragon_egg_dragon_ancestor_1_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"68","dragon_egg_dragon_ancestor_2_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"69","dragon_egg_dragon_ancestor_3_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"70","dragon_egg_dragon_ancestor_4_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"71","dragon_egg_dragon_ancestor_5_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"72","dragon_egg_dragon_ancestor_6_desc","Expected corrective localization override","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","1","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"73","dragon_egg_vermithrax_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"74","dragon_egg_anogaros_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
