"Count","Category","Owner","Files","FirstLogLine"
"1","Graphics / portrait source error","A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds | gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds","1196"
"1","Graphics / portrait source error","CK3 | COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds | gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_properties.dds","1195"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/yronwood/building_special_yronwood.mesh","1251"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/sisterton/building_special_sisterton.mesh","1244"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/deepwood_motte/deepwood_motte.mesh","1252"
"1","Other error","AGOT Submods | Единые исправления","common/scripted_effects/usf_language_effects.txt","1335"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/the_arbor/the_arbor.mesh","1285"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/fanghill/fanghill.mesh","1227"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/planky town/planky_town.mesh","1213"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/high_hermitage/high_hermitage.mesh","1212"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/rooksrest/rooksrest.mesh","1214"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/palestone_sword/building_palestone_sword_01.mesh","1226"
"1","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/ashemark/ashemark.mesh","1225"
