"Date","Page","URL","Text"
"2024-08-30T07:44:42.0000000+00:00","14","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=14#1725003882","- Aegon II Targaryen is now Arbitrary instead of Arrogant under the Canon Children system (or the alternate traits game rule, if enabled) to better represent his personality.
- Added further descriptions to Aegon IV Targaryen and Daeron II Targaryen's Canon Children modifiers to let the players know that their Canon Children will be added at a later time (it's still WIP)."
"2024-08-29T16:25:49.0000000+00:00","14","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=14#1724948749","- Maegelle Targaryen will no longer auto-bond with Meleys
- Removed the Dragonriding House modifier from House Tryzaen"
"2024-08-28T22:03:31.0000000+00:00","14","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=14#1724882611","- Added new game rule for Canon Children to auto-bond with their canon dragons"
"2024-08-27T21:35:07.0000000+00:00","14","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=14#1724794507","- Daemon Targaryen (son of Baelon) starts with the Dreadful perk under the Canon Children system and/or with the alternate traits game rule enabled
- Updated CoAs for dragonseed Houses"
"2024-08-26T18:17:14.0000000+00:00","14","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=14#1724696234","- Historical Margaery Tyrell will no longer have the Seductress/Schemer traits
- Daemon Targaryen (son of Baelon) now has different commander traits under the Canon Children system and/or with the alternate traits game rule"
"2024-08-25T18:14:45.0000000+00:00","15","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=15#1724609685","- Fixed Jaehaera Targaryen (daughter of Aegon II)'s Canon Children appearance/modifier, which were incorrectly being sourced from Aerea Targaryen (daughter of Aegon)
- Fixed some traits in the Canon Children system
- Changed Laena's death conditions to be by dragonfire after her third birth (if she's a dragonrider and the player has historical mode enabled), rather than simply suicide. KNOWN ISSUE: currently gives Laena the kinslayer trait post-death because she technically ""executed"" herself. Will look into a solution."
"2024-08-24T16:09:38.0000000+00:00","15","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=15#1724515778","- Dragonkeepers now only wear robes if the Valyrian DNA game rule is enabled (in the future it will be dependant on the Valyrian CLOTHES game rule, once I have actual clothes to add)
- Valyrians born via Canon Children now speak the Common Tongue"
"2024-08-18T07:10:54.0000000+00:00","15","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=15#1723965054","- Expanded the Canon Children system to encompass Corlys Velaryon's children and Otto Hightower's children."
"2024-08-16T09:33:16.0000000+00:00","15","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=15#1723800796","- Overhauled the Canon Children system to avoid uncontrollable events like children suddenly becoming sickly and dying, wives dying in childbirth, or the gender variable resetting and getting the wrong gendered child.
- Expanded the Canon Children system to include Cregan Stark's children.
- Added new game rule under the Canon Children system to prevent wives from getting pregnant after having all their Canon Children.
- Tweaked traits for some characters in the Canon Children system if using the relevant game rule."
"2024-07-24T16:42:22.0000000+00:00","16","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=16#1721839342","- Tweaked Aemond Targaryen (son of Viserys I)'s traits if using the relevant game rule or the Canon Children system"
"2024-07-22T18:58:41.0000000+00:00","16","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=16#1721674721","- Targaryen crowns are dynamically created for the proper Targaryen ruler under the Canon Children system once they ascend to the Iron Throne. E.g., if you start as Aegon the Conqueror and your playthrough runs until Aegon the Unworthy, when he becomes King his crown artefact will be created for him."
"2024-07-21T10:09:49.0000000+00:00","16","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=16#1721556589","- Added missing Canon Children descriptions for Larys Strong, Alyn Velaryon, and Addam Velaryon."
"2024-07-18T08:42:30.0000000+00:00","17","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=17#1721292150","- Added more Dance of the Dragons-era DNAs"
"2024-07-16T13:09:56.0000000+00:00","17","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=17#1721135396","- Expanded the Canon Children system for the Targaryens, adding in all the early Targaryen members from Aegon the Conqueror to Aegon the Unworthy
- Everyone in the Canon Children system now has hidden disease resistance to prevent them catching a random illness and ruining a playthrough by killing a key character you need."
"2024-07-13T07:25:30.0000000+00:00","17","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=17#1720855530","- Added some more Dance of the Dragons-era DNAs"
"2024-07-10T16:00:24.0000000+00:00","17","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=17#1720627224","- New Dance of the Dragons-era DNAs"
"2024-07-03T10:12:05.0000000+00:00","17","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=17#1720001525","- Changed personality traits of Dance of the Dragons-era characters when using the alternate relations game rule"
"2024-06-30T11:23:01.0000000+00:00","17","https://steamcommunity.com/sharedfiles/filedetails/changelog/2950245430?p=17#1719746581","- Added new Dance of the Dragons-era DNAs
- Expanded the Canon Children system to include new Targaryens"
