File,MeshIndex,Channel,Vertices,PayloadSHA256,IdenticalChannels,Min,Max,UniqueUVPairs,Start,End,RemoveProposed
gfx/models/portraits/m_cloaks/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_cloak/asoiaf_gold_cloak_cloak.mesh,0,u1,1632,88929100377121FF340F3D8C80AD7A115740FB5681D4A435EE10D006932299FE,[],30.315162658691406,150.78175354003906,1397,78444,91509,False
gfx/models/portraits/m_cloaks/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_cloak/asoiaf_gold_cloak_cloak.mesh,0,u2,1632,F7A7BCAA15787F5518C18A55C17C4A60AC9378B58B7D6FCBA81712D06D2F2556,[],-1.0,0.9921259880065918,242,91509,104574,False
gfx/models/portraits/m_cloaks/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_cloak/asoiaf_gold_cloak_cloak.mesh,0,u3,1632,0E362FEB37384DFEC64691DB67577EFAFB338D7F7B30C4EED55A7B13B23A97D7,[],156.693603515625,392.6115417480469,1398,104574,117639,True
gfx/models/portraits/m_clothes/asoiaf/asoiaf_crownlands/asoiaf_dragonstone/asoiaf_dragonstone_armour_low/asoiaf_dragonstone_armour_low.mesh,0,u0,3383,1984160BB40838D24F7E4726C152E1BFB8E4587367771B75AB97DD5CDFC8905F,"['u1', 'u2', 'u3']",0.0008563995361328125,0.99853515625,2645,135425,162498,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_crownlands/asoiaf_dragonstone/asoiaf_dragonstone_armour_low/asoiaf_dragonstone_armour_low.mesh,0,u1,3383,1984160BB40838D24F7E4726C152E1BFB8E4587367771B75AB97DD5CDFC8905F,"['u0', 'u2', 'u3']",0.0008563995361328125,0.99853515625,2645,162498,189571,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_crownlands/asoiaf_dragonstone/asoiaf_dragonstone_armour_low/asoiaf_dragonstone_armour_low.mesh,0,u2,3383,1984160BB40838D24F7E4726C152E1BFB8E4587367771B75AB97DD5CDFC8905F,"['u0', 'u1', 'u3']",0.0008563995361328125,0.99853515625,2645,189571,216644,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_crownlands/asoiaf_dragonstone/asoiaf_dragonstone_armour_low/asoiaf_dragonstone_armour_low.mesh,0,u3,3383,1984160BB40838D24F7E4726C152E1BFB8E4587367771B75AB97DD5CDFC8905F,"['u0', 'u1', 'u2']",0.0008563995361328125,0.99853515625,2645,216644,243717,True
gfx/models/portraits/m_clothes/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_armour/asoiaf_gold_cloak_armour.mesh,0,u0,14876,0BD2D940C12E58ECC081F155D1E750A13382839CCA1255304ABCCCD2033A9D5E,[],0.004169464111328125,0.99658203125,4274,595140,714157,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_armour/asoiaf_gold_cloak_armour.mesh,0,u1,14876,3ABA372FDF6B434CE4445EC67146F6F604C4ECA20F574F4D6A541E17CC5D0916,[],42.12092590332031,164.9364013671875,8368,714157,833174,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_armour/asoiaf_gold_cloak_armour.mesh,0,u2,14876,29E2A31044F7CDDC2D2CB3EE7580C347FA62814AA67E266E74C730CC81BDAC01,[],-1.0,1.0,255,833174,952191,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_crownlands/asoiaf_gold_cloak_armour/asoiaf_gold_cloak_armour.mesh,0,u3,14876,B474E7EB139889FF95F02AEAA3EB1DFA42D69CD9420575D9A5A6BDB711A11C53,[],-445.208251953125,-162.330322265625,10083,952191,1071208,True
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_dynast/asoiaf_greyjoy_armour_dynast.mesh,0,u0,11953,31D6E286D5A9D1CA2C6F7AE3D013AFEB58D64DF92150EAEA28863241FE7E1883,"['u1', 'u2', 'u3']",-0.376220703125,1.7060546875,6627,478224,573857,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_dynast/asoiaf_greyjoy_armour_dynast.mesh,0,u1,11953,31D6E286D5A9D1CA2C6F7AE3D013AFEB58D64DF92150EAEA28863241FE7E1883,"['u0', 'u2', 'u3']",-0.376220703125,1.7060546875,6627,573857,669490,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_dynast/asoiaf_greyjoy_armour_dynast.mesh,0,u2,11953,31D6E286D5A9D1CA2C6F7AE3D013AFEB58D64DF92150EAEA28863241FE7E1883,"['u0', 'u1', 'u3']",-0.376220703125,1.7060546875,6627,669490,765123,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_dynast/asoiaf_greyjoy_armour_dynast.mesh,0,u3,11953,31D6E286D5A9D1CA2C6F7AE3D013AFEB58D64DF92150EAEA28863241FE7E1883,"['u0', 'u1', 'u2']",-0.376220703125,1.7060546875,6627,765123,860756,True
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_dynast/asoiaf_greyjoy_armour_dynast.mesh,1,u0,187,605818EA14C92F0429154CBCC8FC196CEFA339D64C1A42E646AC038D53EBFEA1,"['u1', 'u2', 'u3']",0.3935546875,0.93212890625,116,1483128,1484633,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_dynast/asoiaf_greyjoy_armour_dynast.mesh,1,u1,187,605818EA14C92F0429154CBCC8FC196CEFA339D64C1A42E646AC038D53EBFEA1,"['u0', 'u2', 'u3']",0.3935546875,0.93212890625,116,1484633,1486138,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_dynast/asoiaf_greyjoy_armour_dynast.mesh,1,u2,187,605818EA14C92F0429154CBCC8FC196CEFA339D64C1A42E646AC038D53EBFEA1,"['u0', 'u1', 'u3']",0.3935546875,0.93212890625,116,1486138,1487643,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_dynast/asoiaf_greyjoy_armour_dynast.mesh,1,u3,187,605818EA14C92F0429154CBCC8FC196CEFA339D64C1A42E646AC038D53EBFEA1,"['u0', 'u1', 'u2']",0.3935546875,0.93212890625,116,1487643,1489148,True
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_high/asoiaf_greyjoy_armour_high.mesh,0,u0,10149,F684EF4025B723780DFF431A7F880CD49806BE2E90CB0964E630C7108A7C97FC,"['u1', 'u2', 'u3']",-0.376220703125,1.7060546875,5780,406062,487263,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_high/asoiaf_greyjoy_armour_high.mesh,0,u1,10149,F684EF4025B723780DFF431A7F880CD49806BE2E90CB0964E630C7108A7C97FC,"['u0', 'u2', 'u3']",-0.376220703125,1.7060546875,5780,487263,568464,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_high/asoiaf_greyjoy_armour_high.mesh,0,u2,10149,F684EF4025B723780DFF431A7F880CD49806BE2E90CB0964E630C7108A7C97FC,"['u0', 'u1', 'u3']",-0.376220703125,1.7060546875,5780,568464,649665,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_greyjoy_armour_high/asoiaf_greyjoy_armour_high.mesh,0,u3,10149,F684EF4025B723780DFF431A7F880CD49806BE2E90CB0964E630C7108A7C97FC,"['u0', 'u1', 'u2']",-0.376220703125,1.7060546875,5780,649665,730866,True
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_armour_dynast_coa/asoiaf_ironborn_armour_dynast_coa.mesh,0,u0,11542,084A8CD9EB74B7FE4063C629CD22235B8D1D0BDB963203BB377300E6AAA36E65,"['u1', 'u2', 'u3']",-0.376220703125,1.7060546875,6216,461789,554134,False
gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_armour_dynast_coa/asoiaf_ironborn_armour_dynast_coa.mesh,0,u1,11542,084A8CD9EB74B7FE4063C629CD22235B8D1D0BDB963203BB377300E6AAA36E65,"['u0', 'u2', 'u3']",-0.376220703125,1.7060546875,6216,554134,646479,False
