"Line","Time","Component","Message","Category","Owner","Files","Key","FirstFile","SecondFile"
"23","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_second_perspective_5' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_second_perspective_5","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"24","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'agot_laid_clutch_desc_third_perspective_5' is defined in both 'localization/russian/more_dragon_eggs_decisions_l_russian.yml' and 'localization/russian/agot/agot_memories_l_russian.yml'.","Expected corrective localization override","A Game of Thrones | Русификатор | AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости","localization/russian/more_dragon_eggs_decisions_l_russian.yml | localization/russian/agot/agot_memories_l_russian.yml","agot_laid_clutch_desc_third_perspective_5","localization/russian/more_dragon_eggs_decisions_l_russian.yml","localization/russian/agot/agot_memories_l_russian.yml"
"25","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'visenya_circlet_name' is defined in both 'localization/russian/ntc_artifacts_l_russian.yml' and 'localization/russian/agot/artifacts/agot_artifacts_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/ntc_artifacts_l_russian.yml | localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","visenya_circlet_name","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml"
"26","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'visenya_circlet_description' is defined in both 'localization/russian/ntc_artifacts_l_russian.yml' and 'localization/russian/agot/artifacts/agot_artifacts_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/ntc_artifacts_l_russian.yml | localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","visenya_circlet_description","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml"
"27","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'daemonblackfyre_crown_name' is defined in both 'localization/russian/ntc_artifacts_l_russian.yml' and 'localization/russian/agot/artifacts/agot_artifacts_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/ntc_artifacts_l_russian.yml | localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","daemonblackfyre_crown_name","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml"
"28","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'daemonblackfyre_crown_description' is defined in both 'localization/russian/ntc_artifacts_l_russian.yml' and 'localization/russian/agot/artifacts/agot_artifacts_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/ntc_artifacts_l_russian.yml | localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","daemonblackfyre_crown_description","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml"
"29","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'crown_of_gardener_war_iron_name' is defined in both 'localization/russian/ntc_artifacts_l_russian.yml' and 'localization/russian/agot/artifacts/agot_artifacts_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/ntc_artifacts_l_russian.yml | localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","crown_of_gardener_war_iron_name","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml"
"30","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'crown_of_gardener_war_iron_description' is defined in both 'localization/russian/ntc_artifacts_l_russian.yml' and 'localization/russian/agot/artifacts/agot_artifacts_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/ntc_artifacts_l_russian.yml | localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","crown_of_gardener_war_iron_description","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml"
"31","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'crown_of_westerling_name' is defined in both 'localization/russian/ntc_artifacts_l_russian.yml' and 'localization/russian/agot/artifacts/agot_artifacts_l_russian.yml'.","Identical localization definitions","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/ntc_artifacts_l_russian.yml | localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","crown_of_westerling_name","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml"
"32","11:20:54","pdx_localize.cpp:279","Duplicate localization key. Key 'crown_of_westerling_description' is defined in both 'localization/russian/ntc_artifacts_l_russian.yml' and 'localization/russian/agot/artifacts/agot_artifacts_l_russian.yml'.","Reviewed same-object mod override","A Game of Thrones | Русификатор | AGOT - Crowns of Westeros - Русификация","localization/russian/ntc_artifacts_l_russian.yml | localization/russian/agot/artifacts/agot_artifacts_l_russian.yml","crown_of_westerling_description","localization/russian/ntc_artifacts_l_russian.yml","localization/russian/agot/artifacts/agot_artifacts_l_russian.yml"
